,TRADE,CAUCASIAN,BLACK,HISPANIC,ASIAN,OTHER,TOTAL_PROJECTS
0,NO WORK,100%,0%,0%,0%,0%,37904
1,Waterproofer,57%,27%,15%,0%,0%,3371
2,Electrician,46%,22%,16%,14%,2%,37773
3,Iron Worker,53%,30%,12%,1%,5%,34904
4,Plumber,57%,21%,13%,7%,2%,17796
5,Sheetmetal Worker,55%,21%,20%,1%,2%,11721
6,CARPENTER,48%,20%,27%,2%,2%,38387
7,GLAZIER,71%,12%,17%,0%,0%,3932
8,PIPEFITTER,61%,28%,9%,2%,1%,5424
9,SPRINKLER FITTER,62%,20%,16%,2%,0%,5730
10,Equipment Operator,80%,10%,7%,2%,2%,18116
11,Laborer,45%,25%,28%,1%,2%,92148
12,Mason,46%,27%,26%,0%,1%,3806
13,Mason Tender,42%,9%,47%,0%,2%,2371
14,Carpenter,48%,23%,23%,3%,3%,65435
15,EQUIPMENT OPERATOR,81%,5%,11%,1%,2%,8727
16,Glazier,64%,22%,10%,2%,2%,9068
17,Insulator,59%,18%,19%,3%,1%,5142
18,Pipefitter,58%,34%,6%,1%,1%,10987
19,INSULATOR,59%,11%,26%,3%,1%,2463
20,PLUMBER,54%,20%,19%,5%,1%,13385
21,Bricklayer,57%,21%,19%,1%,1%,8878
22,Piledriver,55%,20%,13%,6%,6%,3475
23,Sprinkler Fitter,57%,25%,15%,2%,1%,8236
24,ROOFER,43%,22%,33%,0%,1%,3977
25,SHEETMETAL WORKER,57%,20%,21%,1%,1%,6497
26,LABORER,46%,19%,32%,1%,2%,42018
27,Asphalt Raker,88%,3%,4%,0%,5%,344
28,IRON WORKER,55%,27%,14%,1%,2%,13953
29,Painter,41%,18%,34%,5%,3%,9420
30,HVAC,47%,24%,24%,3%,2%,2694
31,Roofer,43%,22%,32%,1%,1%,7334
32,TECHNICIAN,47%,23%,13%,3%,14%,326
33,Plasterer,59%,11%,24%,0%,7%,2123
34,BRICKLAYER,53%,17%,29%,1%,1%,5501
35,Wrecker,32%,16%,46%,6%,0%,494
36,Elev Const Helper,82%,16%,2%,0%,1%,2785
37,Elevator Const(Mech),83%,10%,6%,0%,0%,3834
38,TAPER,40%,12%,46%,1%,1%,5721
39,MASON TENDER,43%,18%,39%,0%,1%,3083
40,PAINTER,42%,14%,39%,4%,1%,6172
41,Oiler,58%,30%,12%,0%,0%,1100
42,ELECTRICIAN,48%,23%,21%,7%,1%,18670
43,FLOOR COVERS,33%,10%,42%,13%,2%,2614
44,TILE WORKER,63%,14%,18%,5%,0%,1249
45,ELEVATOR CONST (MECH),84%,12%,3%,0%,0%,2549
46,Telephone/Data Inst.,74%,16%,6%,2%,2%,1080
47,Cement Finisher,47%,26%,26%,0%,1%,4161
48,Welder,36%,48%,13%,2%,1%,474
49,TELE-COMMUNICATIONS,61%,15%,22%,2%,0%,606
50,Marble Tile Worker,53%,11%,19%,15%,1%,2410
51,Taper,43%,13%,40%,1%,2%,8238
52,Technician,67%,22%,3%,6%,2%,929
53,Asbestos Worker,16%,21%,57%,6%,0%,1890
54,PLASTERER,61%,8%,26%,0%,5%,431
55,CEMENT MASON,46%,26%,27%,0%,0%,1373
56,CONCRETE WORKER,55%,17%,22%,0%,7%,348
57,WATERPROOFER,55%,25%,17%,3%,0%,2217
58,Millwright,53%,21%,26%,0%,0%,207
59,Floor Layer,32%,10%,41%,14%,2%,3921
60,TILE SETTER,45%,11%,32%,10%,2%,1714
61,Carpet Layer,36%,15%,39%,10%,0%,2115
62,PILEDRIVER,64%,18%,12%,3%,3%,1601
63,STEAMFITTER,52%,17%,28%,0%,3%,540
64,CARPET LAYERS,42%,18%,35%,0%,5%,948
65,Cement Laborer,39%,16%,39%,4%,3%,1999
66,CRANE  OPERATOR,85%,3%,7%,0%,5%,351
67,TRUCK DRIVER,49%,15%,24%,0%,12%,78
68,HVAC MECHANIC,70%,25%,2%,3%,0%,253
69,Groundman,89%,8%,1%,1%,0%,142
70,Lineman,62%,37%,0%,0%,0%,423
71,Terrazzo Worker,58%,3%,29%,2%,8%,345
72,Boilmaker,100%,0%,0%,0%,0%,15
73,Utility Operator,81%,2%,4%,0%,12%,203
