MONTH,YEAR,PROJECT,PROJECT_CODE,CONTRACTOR,CONSTRUCTION_TRADE,CRAFT_LEVEL,TOTAL_EMPLOYEE,CAUCASIAN,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN,OTHER,NOT_SPECIFIED,TOTAL_FEMALE,TOTAL_MALE,HOURS_WORKED_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Journeymen,103.25,103.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.25,HOURS_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Journeymen,35.75,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,HOURS_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,"Safway services llc, inc.",CONSTRUCTOR,Journeymen,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,HOURS_PER_MONTH
10,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,"Safway services llc, inc.",CONSTRUCTOR,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
11,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Journeymen,84.5,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,HOURS_PER_MONTH
11,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,Delta beckwith elevator,CONSTRUCTOR,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
11,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,"Safway services llc, inc.",CONSTRUCTOR,Journeymen,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,HOURS_PER_MONTH
11,2017,TRC0105 DC1 C Lowell Trial Court,TRC0105 DC1,"Safway services llc, inc.",CONSTRUCTOR,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
1,2018,DMH1301 DC1 C Solomon Carter Fuller Center Envelope Repair/Window Replacement,DMH1301 DC1 C,Thyssenkrupp elevator corp.,CONSTRUCTOR,Journeymen,253.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,HOURS_PER_MONTH
1,2018,DMH1301 DC1 C Solomon Carter Fuller Center Envelope Repair/Window Replacement,DMH1301 DC1 C,Thyssenkrupp elevator corp.,CONSTRUCTOR,Apprentice,281.5,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.5,HOURS_PER_MONTH
2,2018,DMH1301 DC1 C Solomon Carter Fuller Center Envelope Repair/Window Replacement,DMH1301 DC1 C,Thyssenkrupp elevator corp.,CONSTRUCTOR,Journeymen,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,HOURS_PER_MONTH
