MONTH,YEAR,PROJECT,PROJECT_CODE,CONTRACTOR,CONSTRUCTION_TRADE,CRAFT_LEVEL,TOTAL_EMPLOYEE,CAUCASIAN,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN,OTHER,NOT_SPECIFIED,TOTAL_FEMALE,TOTAL_MALE,HOURS_WORKED_PER_MONTH
1,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Journeymen,69.25,69.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.25,HOURS_PER_MONTH
1,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
2,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Journeymen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
2,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
5,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Journeymen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
5,2018,SDN1501E EC1 C Comprehensive Energy and Water Upgrades,SDN1501E EC1 C,Daniels equipment co. inc.,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
2,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Mass crane & hoist,MILLWRIGHT,Journeymen,45.5,22.5,0.0,0.0,0.0,0.0,23.0,0.0,0.0,45.5,HOURS_PER_MONTH
2,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Mass crane & hoist,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
3,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Journeymen,157.5,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5,HOURS_PER_MONTH
3,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
4,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Mass crane & hoist,MILLWRIGHT,Journeymen,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,HOURS_PER_MONTH
4,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Mass crane & hoist,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
4,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Journeymen,138.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.5,HOURS_PER_MONTH
4,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
5,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Journeymen,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,HOURS_PER_MONTH
5,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
6,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Journeymen,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,HOURS_PER_MONTH
6,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
8,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Journeymen,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,HOURS_PER_MONTH
8,2020,DCR1110 DC1 CM North Point New Maintenance Facility,DCR1110 DC1 CM,Overhead door company of southeastern ma,MILLWRIGHT,Apprentice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOURS_PER_MONTH
